assessment_id,scenario_name,entry_type,industry_sector,deployment_pattern,maturity_overall,dsgai_risks,highest_inherent_rating,highest_residual_rating,control_count,gap_count,immediate_gap_count,frameworks_mapped,compliance_obligations,date_added,tags
DSGAI-RA-insurance-claims-triage,Insurance claims-triage assistant with document understanding,synthetic_template,financial_services,decision_support,Managed,DSGAI01|DSGAI04|DSGAI08|DSGAI09|DSGAI14|DSGAI21,Critical,High,5,3,2,EU AI Act|GDPR|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025|SOC 2,GDPR|CCPA|EU AI Act|SOC 2,2026-05-18,insurance|claims|fraud|bias|high-risk-ai-act|regulated
DSGAI-RA-internal-code-assistant,Internal IDE code-assistant with private source-code context,synthetic_template,technology_saas,code_assistant,Developing,DSGAI01|DSGAI03|DSGAI06|DSGAI14|DSGAI15|DSGAI16|DSGAI19|DSGAI20|DSGAI21,High,Medium,6,4,2,ISO/IEC 27001|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025|SOC 2,SOC 2|GDPR,2026-05-18,code-assistant|endpoint|ide-plugin|source-code-exposure|shadow-ai
DSGAI-RA-marketing-content-generator,Marketing content generator with brand-voice tuning and web-fetch tool,synthetic_template,media_marketing,content_generation,Developing,DSGAI04|DSGAI06|DSGAI08|DSGAI14|DSGAI17|DSGAI20|DSGAI21,High,Medium,5,3,0,EU AI Act|GDPR|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025,GDPR|EU AI Act,2026-05-18,marketing|content-generation|brand-voice|web-fetch|copyright
DSGAI-RA-multi-agent-customer-support,"Multi-agent customer-support workflow with KB, CRM, and ticketing tools",synthetic_template,telecom,multi_agent_workflow,Developing,DSGAI01|DSGAI02|DSGAI06|DSGAI11|DSGAI12|DSGAI14|DSGAI15|DSGAI17,High,Medium,7,3,1,ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP Agentic Top 10 2026|OWASP LLM Top 10 2025|SOC 2,GDPR|SOC 2,2026-05-18,multi-agent|customer-support|tool-use|csr-copilot|telecom
DSGAI-RA-multi-tenant-saas-ai-feature,Embedded AI feature inside a multi-tenant SaaS product,synthetic_template,technology_saas,embedded_saas_feature,Managed,DSGAI01|DSGAI02|DSGAI08|DSGAI11|DSGAI13|DSGAI14|DSGAI17,Critical,Medium,6,3,1,ISO/IEC 27001|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025|SOC 2,GDPR|CCPA|HIPAA|SOC 2|ISO 27001 certification,2026-05-18,multi-tenant|saas|isolation|cross-tenant-bleed|embedded-feature
DSGAI-RA-public-sector-citizen-chatbot,Public-sector citizen-services chatbot over published agency content,synthetic_template,public_sector,customer_facing_chatbot,Developing,DSGAI01|DSGAI03|DSGAI08|DSGAI14|DSGAI15|DSGAI17|DSGAI21,Critical,High,6,3,2,EU AI Act|GDPR|ISO/IEC 27001|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025,GDPR|EU AI Act|UK Data Protection Act 2018,2026-05-18,public-sector|citizen-services|high-availability|accessibility|regulated
DSGAI-RA-resume-screening-ai,Resume-screening AI for high-volume hiring,synthetic_template,hr_staffing,decision_support,Developing,DSGAI01|DSGAI04|DSGAI07|DSGAI08|DSGAI14|DSGAI19|DSGAI21,Critical,High,6,3,1,EU AI Act|GDPR|ISO/IEC 27001|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025,GDPR|CCPA|EU AI Act|SOC 2,2026-05-18,hr|employment|bias-audit|high-risk-ai-act|decision-support
DSGAI-RA-self-hosted-open-weights,Self-hosted open-weights model deployment in private cloud,synthetic_template,cross_sector,self_hosted_inference,Defined,DSGAI04|DSGAI06|DSGAI14|DSGAI17|DSGAI18|DSGAI20|DSGAI21,High,Medium,6,3,0,ISO/IEC 27001|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025,SOC 2|ISO 27001 certification,2026-05-18,self-hosted|open-weights|private-cloud|model-exfiltration|supply-chain
DSGAI-RA-soc-analyst-copilot,SOC analyst copilot with SIEM read and limited response-action tools,synthetic_template,cybersecurity,soc_analyst_copilot,Managed,DSGAI01|DSGAI02|DSGAI06|DSGAI14|DSGAI17|DSGAI20|DSGAI21,Critical,High,6,3,1,ISO/IEC 42001|MITRE ATT&CK|NIST AI RMF 1.0|NIST CSF 2.0|OWASP Agentic Top 10 2026|OWASP LLM Top 10 2025|SOC 2,SOC 2|ISO 27001 certification,2026-05-18,soc|copilot|incident-response|siem|hitl|blast-radius
DSGAI-RA-synthetic-data-pipeline,Synthetic-data generation pipeline using real PII for downstream model training,synthetic_template,cross_sector,training_or_data_pipeline,Defined,DSGAI04|DSGAI07|DSGAI08|DSGAI10|DSGAI14|DSGAI18,Critical,Medium,6,3,1,GDPR|ISO/IEC 27001|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025,GDPR|CCPA|ISO 27001 certification,2026-05-18,synthetic-data|privacy|differential-privacy|training-pipeline|lineage
DSGAI-RA-translation-localization-assistant,Translation and localization assistant for confidential business content,synthetic_template,cross_sector,content_generation,Defined,DSGAI01|DSGAI03|DSGAI08|DSGAI14|DSGAI21,High,Medium,5,3,0,GDPR|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025,GDPR|SOC 2,2026-05-18,translation|localization|cross-lingual|dlp|internal-tool
DSGAI-RA-tutoring-assistant-k12,K-12 tutoring assistant with student-progress context,synthetic_template,education,decision_support,Developing,DSGAI01|DSGAI08|DSGAI11|DSGAI14|DSGAI19|DSGAI21,Critical,High,5,3,1,EU AI Act|FERPA|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025,FERPA|GDPR|EU AI Act,2026-05-18,education|k12|minors|ferpa|coppa|decision-support
DSGAI-RA-voice-in-vehicle-assistant,Voice in-vehicle infotainment assistant with cloud + on-device hybrid,synthetic_template,automotive,voice_assistant,Developing,DSGAI01|DSGAI08|DSGAI09|DSGAI11|DSGAI14|DSGAI16,High,High,5,3,0,EU AI Act|GDPR|ISO/IEC 42001|NIST AI RMF 1.0|NIST CSF 2.0|OWASP LLM Top 10 2025,GDPR|CCPA|EU AI Act,2026-05-18,automotive|voice|biometrics|multimodal|in-vehicle|consent
